epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,10381.4,2.05908,1.56221,2.03331,0.774,0.71704,0.78326,0.494,2.77993,1.80046,2.57545,0.0053965,0.0053965,0.0053965
95,10491.6,2.02233,1.53565,2.02778,0.73127,0.72335,0.75196,0.47833,2.78315,1.86177,2.58962,0.005347,0.005347,0.005347
96,10601.6,2.02168,1.53731,2.02232,0.75571,0.73111,0.76947,0.48427,2.79042,1.88997,2.59059,0.0052975,0.0052975,0.0052975
97,10711.6,1.99508,1.45707,2.01528,0.78134,0.71637,0.76219,0.48712,2.78222,1.83804,2.57886,0.005248,0.005248,0.005248
98,10821.6,2.01781,1.49567,2.0195,0.81574,0.70783,0.77795,0.4965,2.76427,1.82094,2.5819,0.0051985,0.0051985,0.0051985
99,10931.5,1.98053,1.45756,2.0177,0.82035,0.68663,0.76921,0.49178,2.77831,1.86827,2.59464,0.005149,0.005149,0.005149
100,11041.9,2.00143,1.48895,2.00232,0.80731,0.69003,0.75689,0.48201,2.78332,1.90257,2.59904,0.0050995,0.0050995,0.0050995
101,11152.3,1.98459,1.4447,1.99917,0.7756,0.695,0.76147,0.48424,2.79086,1.89129,2.58285,0.00505,0.00505,0.00505
102,11262.7,1.99128,1.43183,2.00561,0.79169,0.68307,0.76425,0.49077,2.77672,1.83722,2.57478,0.0050005,0.0050005,0.0050005
103,11373,1.95732,1.40867,1.98851,0.77432,0.72559,0.76275,0.49036,2.7557,1.86069,2.56084,0.004951,0.004951,0.004951
104,11483.1,1.94719,1.38543,1.99355,0.76521,0.6895,0.74939,0.47728,2.76792,1.88228,2.58107,0.0049015,0.0049015,0.0049015
105,11593.2,1.91712,1.35838,1.98177,0.77963,0.66613,0.73963,0.47095,2.78041,1.9483,2.59214,0.004852,0.004852,0.004852
106,11703.3,1.91482,1.36341,1.96986,0.79208,0.6656,0.73409,0.46836,2.77135,1.94623,2.58301,0.0048025,0.0048025,0.0048025
107,11813.2,1.89518,1.3099,1.972,0.7777,0.68336,0.74568,0.47681,2.7651,1.87706,2.58549,0.004753,0.004753,0.004753
108,11923.3,1.91282,1.3002,1.97626,0.77973,0.68673,0.76203,0.49172,2.76132,1.87237,2.57845,0.0047035,0.0047035,0.0047035
109,12033.7,1.88342,1.29006,1.97019,0.76123,0.73409,0.78749,0.50483,2.76752,1.83703,2.58226,0.004654,0.004654,0.004654
110,12144.2,1.88091,1.29779,1.95724,0.79425,0.73122,0.78275,0.50332,2.76859,1.8223,2.57398,0.0046045,0.0046045,0.0046045
111,12254.3,1.8536,1.2884,1.95122,0.81452,0.69418,0.78397,0.50446,2.76155,1.83977,2.57637,0.004555,0.004555,0.004555
112,12364,1.86754,1.29547,1.95943,0.8647,0.68701,0.78503,0.50423,2.76594,1.81982,2.59039,0.0045055,0.0045055,0.0045055
113,12474.3,1.85348,1.23495,1.94256,0.82322,0.71167,0.7882,0.50361,2.78543,1.77729,2.61287,0.004456,0.004456,0.004456
114,12584.6,1.83065,1.22797,1.94626,0.78696,0.7285,0.78727,0.504,2.77849,1.80027,2.60115,0.0044065,0.0044065,0.0044065
115,12694.7,1.81215,1.22632,1.93562,0.7707,0.71784,0.76949,0.49626,2.77365,1.84787,2.59878,0.004357,0.004357,0.004357
116,12805.1,1.85442,1.25119,1.95123,0.81897,0.7027,0.77789,0.49966,2.77627,1.83833,2.59896,0.0043075,0.0043075,0.0043075
117,12915.4,1.81306,1.16708,1.9317,0.81946,0.67828,0.76681,0.49294,2.7749,1.88152,2.59678,0.004258,0.004258,0.004258
118,13025.8,1.79816,1.19426,1.93455,0.74276,0.71529,0.76649,0.49357,2.77632,1.91581,2.60154,0.0042085,0.0042085,0.0042085
119,13136,1.82766,1.22709,1.94517,0.78012,0.69875,0.77328,0.50259,2.76198,1.88573,2.59317,0.004159,0.004159,0.004159
120,13246,1.77684,1.14877,1.91825,0.79684,0.70287,0.77717,0.50321,2.77348,1.87355,2.6035,0.0041095,0.0041095,0.0041095
121,13356.1,1.75473,1.13753,1.9242,0.74751,0.73387,0.77883,0.50168,2.79047,1.89987,2.61673,0.00406,0.00406,0.00406
122,13466.3,1.78587,1.16798,1.92783,0.80841,0.6858,0.76699,0.49471,2.80203,1.90252,2.61687,0.0040105,0.0040105,0.0040105
123,13576.1,1.75617,1.10798,1.91175,0.75846,0.74713,0.77583,0.49792,2.79974,1.8814,2.61993,0.003961,0.003961,0.003961
124,13686.4,1.74674,1.13322,1.91287,0.78382,0.70411,0.77269,0.49618,2.77944,1.91108,2.60991,0.0039115,0.0039115,0.0039115
125,13796.8,1.73365,1.10792,1.90492,0.7947,0.69903,0.76875,0.49246,2.78628,1.89285,2.61887,0.003862,0.003862,0.003862
126,13907,1.75096,1.11025,1.89699,0.79645,0.70122,0.77015,0.49519,2.79034,1.88241,2.6197,0.0038125,0.0038125,0.0038125
127,14017.3,1.74987,1.08877,1.90536,0.73611,0.72973,0.77001,0.49531,2.7868,1.87101,2.60775,0.003763,0.003763,0.003763
128,14127.5,1.71592,1.09139,1.89902,0.79333,0.69748,0.77003,0.49426,2.77443,1.8921,2.60997,0.0037135,0.0037135,0.0037135
129,14237.7,1.67758,1.03921,1.87745,0.77453,0.70351,0.76708,0.49279,2.77826,1.92355,2.60203,0.003664,0.003664,0.003664
130,14348,1.72016,1.05752,1.89334,0.77762,0.70428,0.76544,0.49345,2.78203,1.93377,2.60654,0.0036145,0.0036145,0.0036145
131,14458.4,1.71165,1.0359,1.88816,0.80598,0.71004,0.78186,0.50153,2.79122,1.89237,2.61452,0.003565,0.003565,0.003565
132,14568.5,1.6858,1.03658,1.88081,0.83939,0.69442,0.78809,0.50562,2.79965,1.89632,2.62429,0.0035155,0.0035155,0.0035155
133,14678.9,1.68527,1.02703,1.88595,0.79436,0.71153,0.77983,0.501,2.79777,1.89115,2.62604,0.003466,0.003466,0.003466
134,14789.1,1.67743,1.01178,1.87818,0.81681,0.71043,0.78274,0.50255,2.7966,1.88152,2.62547,0.0034165,0.0034165,0.0034165
135,14899.4,1.68216,1.02623,1.88908,0.78799,0.7303,0.79073,0.51041,2.80113,1.88238,2.63415,0.003367,0.003367,0.003367
136,15009.8,1.64076,0.9914,1.86853,0.86921,0.68036,0.79069,0.5102,2.80675,1.89607,2.64803,0.0033175,0.0033175,0.0033175
137,15120.1,1.64819,0.99337,1.8658,0.85174,0.69322,0.79257,0.50849,2.81055,1.90701,2.65664,0.003268,0.003268,0.003268
138,15230.4,1.65105,1.00434,1.86904,0.80409,0.71524,0.79169,0.50733,2.81292,1.88661,2.66443,0.0032185,0.0032185,0.0032185
139,15340.5,1.64326,0.97196,1.88194,0.80763,0.71339,0.78443,0.50079,2.81449,1.90377,2.66165,0.003169,0.003169,0.003169
140,15457.2,1.64748,1.0006,1.86933,0.7988,0.70898,0.78709,0.50379,2.80835,1.91724,2.65732,0.0031195,0.0031195,0.0031195
141,15567.1,1.60446,0.94998,1.85056,0.80296,0.70443,0.78346,0.50132,2.80649,1.9284,2.65257,0.00307,0.00307,0.00307
142,15676.7,1.61283,0.96969,1.85133,0.79674,0.71124,0.7818,0.49892,2.80827,1.9203,2.64565,0.0030205,0.0030205,0.0030205
143,15786.6,1.6081,0.9567,1.86279,0.81456,0.70407,0.78197,0.49559,2.79943,1.9032,2.64215,0.002971,0.002971,0.002971
144,15896.5,1.6275,0.97717,1.85987,0.79856,0.70831,0.77927,0.49679,2.79466,1.92373,2.64364,0.0029215,0.0029215,0.0029215
145,16006.2,1.57935,0.9118,1.84661,0.78431,0.70563,0.77336,0.49603,2.79901,1.94688,2.65037,0.002872,0.002872,0.002872
